FileName,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abr-output-0.mp4,5,,4,,,,,,,,3,,,,,,,,,,4,,,,,,,,,,5,,,,,,,,,
abr-output-1.mp4,,,,,,,,,,3,,,,,,,2,,,,,,,,,,,,5,,,,,,,,,4,,
abr-output-10.mp4,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,,,,
abr-output-11.mp4,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,
abr-output-2.mp4,,,,,,,4,,,,,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,5,
abr-output-3.mp4,,,,,,3,,,,,4,,,,,,,,,,3,,,,,,,,,,,,,,,4,,,,
abr-output-4.mp4,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,
abr-output-5.mp4,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,
abr-output-6.mp4,,,,,,,,,,2,,,,,,,,5,,,,,,,,,,5,,,,,,,,4,,,,
abr-output-7.mp4,,,,,,,,,4,,,,,,,5,,,,,,,,,,5,,,,,,,4,,,,,,,
abr-output-8.mp4,,,,,,,,3,,,,,,3,,,,,,,,,,5,,,,,,,,,,,,,,,,4
abr-output-9.mp4,,,,,,,2,,,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,5,,,
abrvbv-output-0.mp4,,,,,,,,,,,,,5,,,,,,,,,,5,,,,,,,,,,4,,,,,,,
abrvbv-output-1.mp4,,5,,,,,,,,,4,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,4
abrvbv-output-10.mp4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,4,,,
abrvbv-output-11.mp4,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,,,,,,2,,,,,,
abrvbv-output-2.mp4,,,,,,,,,4,,,,,,5,,,,,,,,,,4,,,,,,3,,,,,,,,,
abrvbv-output-3.mp4,,,,,,,,2,,,,,3,,,,,,,,,,4,,,,,,,,,,,,,,,2,,
abrvbv-output-4.mp4,,,,2,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,2,,,,,,
